589,142,738
789,866,818
762,309,144
868,143,279
132,907,598
855,331,387
957,898,806
520,758,381
816,670,154
464,304,547
287,594,613
844,971,482
210,557,406
827,707,304
835,468,683
849,418,251
288,767,418
105,322,686
911,902,497
881,544,517
681,969,643
633,980,487
202,446,714
299,668,719
812,762,399
522,192,575
210,605,880
184,331,476
466,766,211
493,811,838
498,756,706
362,738,365
928,145,854
347,511,489
851,351,789
411,669,279
331,569,961
406,988,133
870,379,440
337,807,720
163,165,724
232,596,930
248,521,607
745,212,890
178,852,604
738,236,985
892,960,304
766,814,989
111,490,115
146,922,343
843,757,175
430,295,447
326,731,364
584,580,949
158,478,854
403,716,508
609,749,493
737,582,671
436,767,779
384,311,633
891,715,799
829,456,441
650,224,720
590,330,189
275,867,726
954,374,709
484,768,259
614,290,268
984,302,426
892,574,336
970,244,886
685,510,129
453,364,834
235,380,838
669,540,507
648,156,956
813,989,613
252,604,291
277,541,743
215,150,886
946,764,558
610,122,697
661,790,996
187,981,236
596,520,259
624,526,448
108,382,460
159,906,559
268,890,394
830,268,252
407,196,878
993,937,142
520,413,701
221,976,258
195,705,171
301,676,758
928,303,410
353,687,260
666,354,405
549,383,785
157,681,305
